label,message
ham,Hey how are you doing today
ham,Let's meet for lunch tomorrow
ham,Are you coming to class today
ham,Call me when you are free
ham,Don't forget to bring your notebook
ham,See you in the evening
ham,Can you send me the notes
ham,Let's study together tonight
ham,Meeting is scheduled at 5 pm
ham,Please check your email

spam,Congratulations you have won a lottery
spam,Win money now click this link
spam,You have been selected for a prize
spam,Claim your free gift card now
spam,URGENT you won 1 lakh rupees
spam,Limited time offer click now
spam,Get rich quick with this method
spam,Exclusive deal just for you
spam,Free entry in contest win now
spam,Act fast claim your reward

ham,Are we still on for dinner
ham,I will call you later
ham,Send me your location
ham,Did you finish the assignment
ham,Let's go for a walk
ham,Good morning have a nice day
ham,See you at the library
ham,Happy birthday have a great day
ham,Can you help me with this problem
ham,What time is the lecture

spam,You are pre approved for a loan
spam,Lowest interest rates apply now
spam,Win a brand new iPhone today
spam,Click here to claim your bonus
spam,Don't miss this opportunity
spam,You have been chosen as a winner
spam,Get free recharge instantly
spam,Earn money from home easily
spam,Special promotion just for you
spam,Act now before offer ends
